constituency_name,region_name,country_name,constituency_type,electorate,valid_votes,invalid_votes,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other
Weaver Vale,North West,England,County,69016,50613,108,22138,26066,1623,0,786,0,0,0,0,0,0,0,0
Wellingborough,East Midlands,England,County,79254,53240,100,30579,18119,1782,1804,956,0,0,0,0,0,0,0,0
Wells,South West,England,County,82451,60843,131,30488,7129,22906,0,0,0,0,0,0,0,0,0,320
Welwyn Hatfield,East,England,County,72888,51669,109,26374,19005,3836,1441,835,0,0,0,0,0,0,0,178
Wentworth and Dearne,Yorkshire and The Humber,England,County,74890,43947,280,13744,28547,1656,0,0,0,0,0,0,0,0,0,0
West Aberdeenshire and Kincardine,Scotland,Scotland,County,72477,51625,49,24704,5706,4461,0,0,16754,0,0,0,0,0,0,0
West Bromwich East,West Midlands,England,Borough,63846,39098,138,14951,22664,625,0,533,0,0,0,0,0,0,0,325
West Bromwich West,West Midlands,England,Borough,65967,36094,90,14329,18789,333,2320,323,0,0,0,0,0,0,0,0
West Dorset,South West,England,County,79048,59598,152,33081,10896,13990,0,1631,0,0,0,0,0,0,0,0
West Dunbartonshire,Scotland,Scotland,County,67602,44083,86,7582,16602,1009,0,0,18890,0,0,0,0,0,0,0
West Ham,London,England,Borough,92418,60708,161,9837,46591,1836,1134,957,0,0,0,0,0,0,0,353
West Lancashire,North West,England,County,73257,54389,114,20341,32030,1069,0,680,0,0,0,0,0,0,0,269
Westminster North,London,England,Borough,63846,43295,192,14422,25934,2253,0,595,0,0,0,0,0,0,0,91
Westmorland and Lonsdale,North West,England,County,66391,51687,81,22909,4783,23686,0,0,0,0,0,0,0,0,0,309
Weston-Super-Mare,South West,England,County,82136,56415,97,29982,18438,5175,1932,888,0,0,0,0,0,0,0,0
West Suffolk,East,England,County,77348,51746,104,31649,14586,2180,2396,935,0,0,0,0,0,0,0,0
West Tyrone,Northern Ireland,Northern Ireland,County,64009,43486,189,0,0,0,0,427,0,0,11718,22060,5635,2253,1000,393
West Worcestershire,West Midlands,England,County,74375,56471,112,34703,13375,5307,1481,1605,0,0,0,0,0,0,0,0
Wigan,North West,England,County,75359,47542,96,13548,29575,916,2750,753,0,0,0,0,0,0,0,0
Wimbledon,London,England,Borough,66780,51526,127,23946,18324,7472,553,1231,0,0,0,0,0,0,0,0
Winchester,South East,England,County,72497,57156,100,29729,6007,19730,695,846,0,0,0,0,0,0,0,149
Windsor,South East,England,County,73595,53921,164,34718,12334,5434,0,1435,0,0,0,0,0,0,0,0
Wirral South,North West,England,County,57670,45195,84,17548,25871,1322,0,454,0,0,0,0,0,0,0,0
Wirral West,North West,England,County,55995,43951,83,18501,23866,1155,0,429,0,0,0,0,0,0,0,0
Witham,East,England,County,69137,49241,159,31670,13024,2715,0,1832,0,0,0,0,0,0,0,0
Witney,South East,England,County,82727,60927,124,33839,12598,12457,980,1053,0,0,0,0,0,0,0,0
Woking,South East,England,County,76170,55246,127,29903,13179,9711,1161,1092,0,0,0,0,0,0,0,200
Wokingham,South East,England,County,79111,59690,199,33806,15008,9512,0,1364,0,0,0,0,0,0,0,0
